effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,deepseek-v4-flash,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Asch1946_warm_cold,B,deepseek-v4-flash,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Banerjee2012_brightness,A,deepseek-v4-flash,none,0.392232270276368,0.18569533817705122,0.603022689155527,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Banerjee2012_brightness,B,deepseek-v4-flash,none,-0.1336306209562126,-0.5000000000000003,0.2041241452319315,30,1.0,1.0,30,30,0,0,0,1,between,0,
Bargh2012_warmth,A,deepseek-v4-flash,none,,,,30,1.0,1.0,30,30,0,0,0,1,pearson,1,zero_variance
Bargh2012_warmth,B,deepseek-v4-flash,none,0.1767114024408889,-0.24845375650442938,0.5798876898231365,30,1.0,1.0,30,30,0,0,0,1,pearson,0,
Chao2017_thankyou_gift,A,deepseek-v4-flash,none,0.0,0.0,0.0,30,1.0,0.3,20,30,0,0,0,3,phi,2,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,deepseek-v4-flash,none,0.0,0.0,0.0,30,1.0,,20,30,0,0,0,1,phi,2,custom_parser;n_offcontrast=10;zero_variance
Cooney2016_fairness,A,deepseek-v4-flash,none,0.6123724356957946,0.3796483996622677,0.7845112683137908,30,1.0,1.0,30,30,0,0,0,1,between,0,
Cooney2016_fairness,B,deepseek-v4-flash,none,0.8333333333333334,0.7592956877764218,0.899228803025897,30,1.0,1.0,30,30,0,0,0,1,between,0,
Eyal2008_moral_distance,A,deepseek-v4-flash,none,0.2129209514934195,-0.15278292412580774,0.5006296661560131,30,1.0,0.8333333333333334,30,30,0,0,0,3,between,0,
Eyal2008_moral_distance,B,deepseek-v4-flash,none,-0.08674723979493573,-0.4206035148278233,0.2869986581561775,30,1.0,0.4666666666666667,30,30,0,0,0,3,between,0,
Genschow2017_free_will_attribution,A,deepseek-v4-flash,none,-0.27050675261667073,-0.5561478193940944,0.08752906891305826,29,1.0,1.0,29,29,1,0,0,1,between,0,refusals=1
