effect,frame,paradigm_class,bare_eligible,n_conditions,n_seeds,n_requests,coder_votes,coder_agreement,reason
Asch1946_warm_cold,lab_experiment,trait_inference,True,2,5,60,trait_inference|trait_inference,True,"trait word swap, impression formation"
Bargh2012_warmth,lab_experiment,questionnaire,True,0,5,60,questionnaire|questionnaire,True,"correlational self-report, no manipulation"
Banerjee2012_brightness,lab_experiment,introspective_recall,False,2,0,0,social_priming|introspective_recall|introspective_recall,False,requires recalling own ethical/unethical deed
Wakslak2006_construal,lab_experiment,jdm_bias,True,2,5,60,questionnaire|jdm_bias|jdm_bias,False,probability of future task shifts construal level
Klink2000_soundsymbolism,lab_experiment,linguistic_intuition,True,0,5,60,linguistic_intuition|linguistic_intuition,True,"sound symbolism, no manipulation"
Valdesolo2007_hypocrisy,lab_experiment,moral_judgment,True,4,5,60,moral_judgment|moral_judgment,True,fairness/hypocrisy vignette judgment
Cooney2016_fairness,lab_experiment,moral_judgment,True,2,5,60,moral_judgment|moral_judgment,True,fairness procedure judgment
VanBoven2007_anticipation,lab_experiment,jdm_bias,True,2,5,60,jdm_bias|jdm_bias,True,anticipation/valuation judgment
Slepian2012_secrets,lab_experiment,introspective_recall,False,2,0,0,introspective_recall|introspective_recall|introspective_recall,True,requires recalling own big/small secret
Tamir2012_selfdisclosure,lab_experiment,incentive,True,0,5,60,introspective_recall|introspective_recall|incentive,False,real payoff choice between self/other judgment
Husnu2010_imagined_contact,lab_experiment,social_imagery,True,2,5,60,social_imagery|social_imagery,True,imagined interaction manipulation
Tversky1973_availability_letters,lab_experiment,jdm_bias,True,0,5,60,jdm_bias|jdm_bias,True,availability heuristic judgment
Eyal2008_moral_distance,lab_experiment,moral_judgment,True,2,5,60,moral_judgment|moral_judgment,True,"vignette temporal framing, moral judgment"
Rottenstreich2001_affective_lottery,lab_experiment,jdm_bias,True,2,5,60,jdm_bias|jdm_bias,True,probability x outcome valuation
Oppenheimer2009_retrospective_gambler,lab_experiment,jdm_bias,True,3,5,60,jdm_bias|jdm_bias,True,probability judgment task
Knobe2003_side_effect,lab_experiment,moral_judgment,True,2,5,60,moral_judgment|moral_judgment,True,Vignette content manipulates intentionality/blame directly
Miyamoto2002_correspondence_bias,lab_experiment,trait_inference,True,2,5,60,trait_inference|trait_inference,True,Inferring writer's true attitude from essay
Genschow2017_free_will_attribution,lab_experiment,jdm_bias,True,2,5,60,social_priming|moral_judgment|jdm_bias,False,"reading passage shifts attribution bias, no persona"
Chao2017_thankyou_gift,lab_experiment,incentive,True,3,5,60,social_judgment|incentive|incentive,False,gift salience affects donation behavior/rate
Zarkadi2013_visual_contrast,lab_experiment,social_priming,False,3,0,0,jdm_bias|jdm_bias|social_priming,False,incidental background pattern shifts unrelated rating
Giessner2007_vertical_power,lab_experiment,social_priming,False,2,0,0,social_priming|social_priming|social_priming,True,incidental vertical line length shifts power judgment
Bauer2012_consumer_cues,lab_experiment,social_judgment,True,2,5,60,social_priming|social_priming|social_judgment,False,semantic label (consumer/individual) directly shapes social evaluation
Kay2014_structure_goal_pursuit,lab_experiment,social_priming,False,2,0,0,social_priming|social_priming|social_priming,True,unrelated order/randomness text shifts goal willingness
Caruso2013_money_priming,lab_experiment,social_priming,False,2,0,0,social_priming|social_priming|social_priming,True,incidental money image shifts system-justification scores
Galinsky2006_power_perspective,lab_experiment,introspective_recall,False,2,0,0,social_priming|introspective_recall|introspective_recall,False,Manipulation is autobiographical power-episode recall
