effect,model,r_sim,r_o,r_r,d_orig,d_rep,closer,variant_range,pair_contrast,frame_sensitive,narrative,fame
Asch1946_warm_cold,sonnet5,1.0,0.6508,0.1966,0.34919999999999995,0.8034,original,0.0,0.45420000000000005,False,original_dominates,famous
Asch1946_warm_cold,sonnet45,1.0,0.6508,0.1966,0.34919999999999995,0.8034,original,0.0,0.45420000000000005,False,original_dominates,famous
Banerjee2012_brightness,sonnet5,0.6584346778191597,0.5239,-0.015,0.13453467781915962,0.6734346778191597,original,0.43455260635744436,0.5389,False,failure_dominates,famous
Banerjee2012_brightness,sonnet45,0.24082895187400183,0.5239,-0.015,0.2830710481259982,0.25582895187400184,replication,0.14619334503521886,0.5389,False,failure_dominates,famous
Bargh2012_warmth,sonnet5,0.0061944704294666295,0.57,0.02,0.5638055295705333,0.013805529570533371,replication,0.303761603590832,0.5499999999999999,False,contested,famous
Bargh2012_warmth,sonnet45,0.03204238997057954,0.57,0.02,0.5379576100294204,0.012042389970579537,replication,0.321600356916502,0.5499999999999999,False,contested,famous
Cooney2016_fairness,sonnet5,0.8754804791094791,0.5657,0.1211,0.30978047910947915,0.7543804791094791,original,0.9336558729272195,0.4446,True,obscure,obscure
Cooney2016_fairness,sonnet45,0.0,0.5657,0.1211,0.5657,0.1211,replication,0.2913218652048991,0.4446,False,obscure,obscure
Klink2000_soundsymbolism,sonnet5,0.9923672332051517,0.819,0.222,0.1733672332051518,0.7703672332051518,original,0.010126564240629521,0.597,False,original_dominates,obscure
Klink2000_soundsymbolism,sonnet45,0.9937649452174039,0.819,0.222,0.17476494521740393,0.7717649452174039,original,0.009599061704741119,0.597,False,original_dominates,obscure
Slepian2012_secrets,sonnet5,0.293002642697323,0.52,0.04,0.226997357302677,0.25300264269732303,original,0.35326689956816026,0.48000000000000004,False,contested,moderate
Slepian2012_secrets,sonnet45,0.5804009254497846,0.52,0.04,0.06040092544978459,0.5404009254497846,original,0.765446934491566,0.48000000000000004,True,contested,moderate
Tamir2012_selfdisclosure,sonnet5,0.6938886664887108,0.4853,0.0046,0.20858866648871083,0.6892886664887108,original,0.8059895130079819,0.4807,True,original_dominates,famous
Tamir2012_selfdisclosure,sonnet45,0.9505633016562605,0.4853,0.0046,0.46526330165626045,0.9459633016562604,original,0.670326600463051,0.4807,True,original_dominates,famous
Valdesolo2007_hypocrisy,sonnet5,0.8338417016381369,0.4853,0.0,0.34854170163813686,0.8338417016381369,original,0.5924445557245259,0.4853,True,obscure,moderate
Valdesolo2007_hypocrisy,sonnet45,0.9860391153311239,0.4853,0.0,0.5007391153311238,0.9860391153311239,original,0.04508056348849543,0.4853,False,obscure,moderate
VanBoven2007_anticipation,sonnet5,0.7663120636086753,0.44,0.01,0.3263120636086753,0.7563120636086753,original,0.29190470264169915,0.43,False,obscure,moderate
VanBoven2007_anticipation,sonnet45,0.0,0.44,0.01,0.44,0.01,replication,0.47875879021693085,0.43,True,obscure,moderate
Wakslak2006_construal,sonnet5,-0.19574665386157425,0.6101,-0.0946,0.8058466538615743,0.10114665386157425,replication,0.3169665937904014,0.7047,False,obscure,famous
Wakslak2006_construal,sonnet45,-0.2184036866853458,0.6101,-0.0946,0.8285036866853458,0.12380368668534579,replication,0.43042483209077564,0.7047,False,obscure,famous
