effect,model,r_bare,ci_lo,ci_hi,n_ok,parse_rate,n_denom,n_refused,n_parse_fail,n_refusal_text,n_seeds,stat,flag
Asch1946_warm_cold,deepseek-v4-flash,1.0,1.0,1.0,30,1.0,30,0,0,0,5,phi,
Banerjee2012_brightness,deepseek-v4-flash,,,,0,,0,0,0,0,0,between,bare_ineligible_no_rows
Bargh2012_warmth,deepseek-v4-flash,0.22371100768720992,-0.06081518616105907,0.4971105242938719,30,1.0,30,0,0,0,5,pearson,
Chao2017_thankyou_gift,deepseek-v4-flash,0.0,0.0,0.0,30,1.0,30,0,0,0,5,phi,
Cooney2016_fairness,deepseek-v4-flash,0.6579432682703692,0.43588989435406733,0.8352080938627331,27,1.0,27,3,0,0,5,between,refusals=3
Eyal2008_moral_distance,deepseek-v4-flash,4.1669550621429814e-16,-0.3734835113712747,0.3496334852258257,30,1.0,30,0,0,0,5,between,
Genschow2017_free_will_attribution,deepseek-v4-flash,0.05436124262414384,-0.3000040591784317,0.4666350958100098,29,1.0,29,1,0,0,5,between,refusals=1
Husnu2010_imagined_contact,deepseek-v4-flash,0.2951067521453517,-0.06710519327676841,0.7604962546769741,30,1.0,30,0,0,0,5,between,
Klink2000_soundsymbolism,deepseek-v4-flash,0.995057296642601,0.986870327590338,1.0,30,1.0,30,0,0,0,5,paired_zero,
Knobe2003_side_effect,deepseek-v4-flash,1.0,1.0,1.0,30,1.0,30,0,0,0,5,phi,
Miyamoto2002_correspondence_bias,deepseek-v4-flash,0.3649324991288251,0.18569533817705178,0.5187073636027975,30,1.0,30,0,0,0,5,between,
Oppenheimer2009_retrospective_gambler,deepseek-v4-flash,0.33627271108856766,-0.03190045575443351,0.5940207233219218,30,1.0,30,0,0,0,5,between,
Rottenstreich2001_affective_lottery,deepseek-v4-flash,0.0,0.0,0.0,30,1.0,30,0,0,0,5,phi,
Slepian2012_secrets,deepseek-v4-flash,,,,0,,0,0,0,0,0,between,bare_ineligible_no_rows
Tamir2012_selfdisclosure,deepseek-v4-flash,0.0,0.0,0.0,30,1.0,30,0,0,0,5,paired_zero,
Tversky1973_availability_letters,deepseek-v4-flash,-1.0,-1.0,-1.0,28,1.0,28,2,0,0,5,prop_vs_half,refusals=2
Valdesolo2007_hypocrisy,deepseek-v4-flash,0.0,0.0,0.0,27,1.0,27,3,0,0,5,between,refusals=3
VanBoven2007_anticipation,deepseek-v4-flash,0.6885303726590963,0.42008402520840293,0.90267093384844,27,1.0,27,3,0,0,5,paired_zero,refusals=3
Wakslak2006_construal,deepseek-v4-flash,0.20940521695609124,-0.14073178870613007,0.5300091903375679,30,1.0,30,0,0,0,5,between,
