effect,variant,model,r_sim,n_scored,parse_rate,at_ceiling
Aryani2020_word_arousal,A,sonnet5,0.9993546297990685,60,1.0,True
Aryani2020_word_arousal,B,sonnet5,0.9996193856462336,60,1.0,True
Asch1946_warm_cold,A,sonnet5,0.952521315929763,60,1.0,True
Asch1946_warm_cold,B,sonnet5,0.7590700001166084,60,1.0,False
BlackBarnes2015_transportation,A,sonnet5,0.9817942861098936,60,1.0,True
BlackBarnes2015_transportation,B,sonnet5,0.8219062492317527,60,1.0,False
Cao2018_bayesian_pilot,A,sonnet5,0.99,60,1.0,True
Cao2018_bayesian_pilot,B,sonnet5,0.9983111944950885,60,1.0,True
FathKay2018_hierarchy_corruption,A,sonnet5,0.9794700859537521,60,1.0,True
FathKay2018_hierarchy_corruption,B,sonnet5,0.9910596794290992,60,1.0,True
Hoorens2015_more_less_asymmetry,A,sonnet5,0.9369174637146045,60,1.0,False
Hoorens2015_more_less_asymmetry,B,sonnet5,0.9835447996352898,60,1.0,True
John2016_hiding_information,A,sonnet5,-0.7087517204117384,60,1.0,False
John2016_hiding_information,B,sonnet5,0.9931968225062563,60,1.0,True
Klink2000_soundsymbolism,A,sonnet5,0.3979078531752421,60,1.0,False
Klink2000_soundsymbolism,B,sonnet5,0.46233144125972614,60,1.0,False
Knobe2003_side_effect,A,sonnet5,0.9996382004529314,60,1.0,True
Knobe2003_side_effect,B,sonnet5,0.9984866002251315,60,1.0,True
Miyamoto2002_correspondence_bias,A,sonnet5,0.9902579516389698,60,1.0,True
Miyamoto2002_correspondence_bias,B,sonnet5,0.9907433739733931,60,1.0,True
Rottenstreich2001_affective_lottery,A,sonnet5,0.8911145479786152,60,1.0,False
Rottenstreich2001_affective_lottery,B,sonnet5,0.9047073536017024,60,1.0,False
Tamir2012_selfdisclosure,A,sonnet5,-0.3327726035059618,60,1.0,False
Tamir2012_selfdisclosure,B,sonnet5,-0.7797963806952675,60,1.0,False
Valdesolo2007_hypocrisy,A,sonnet5,0.871848592336346,60,1.0,False
Valdesolo2007_hypocrisy,B,sonnet5,0.5722488881430946,60,1.0,False
Weinstein1984_comparative_optimism,A,sonnet5,0.926878523445778,60,1.0,False
Weinstein1984_comparative_optimism,B,sonnet5,0.9632993564525556,60,1.0,True
