effect,variant,model,persona,r_sim,ci_lo,ci_hi,n_ok,parse_rate,parse_rate_strict,n_used,n_denom,n_refused,n_parse_fail,n_refusal_text,parse_tier_max,stat,zero_var,flag
Asch1946_warm_cold,A,gpt-5.6-terra,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Asch1946_warm_cold,B,gpt-5.6-terra,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,phi,2,zero_variance
Banerjee2012_brightness,A,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Banerjee2012_brightness,B,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,1.0,30,30,0,0,0,1,between,2,zero_variance
Bargh2012_warmth,A,gpt-5.6-terra,none,,,,30,1.0,1.0,30,30,0,0,0,1,pearson,1,zero_variance
Bargh2012_warmth,B,gpt-5.6-terra,none,,,,30,1.0,1.0,30,30,0,0,0,1,pearson,1,zero_variance
Chao2017_thankyou_gift,A,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,1.0,20,30,0,0,0,1,phi,2,n_offcontrast=10;zero_variance
Chao2017_thankyou_gift,B,gpt-5.6-terra,none,0.0,0.0,0.0,30,1.0,,20,30,0,0,0,1,phi,2,custom_parser;n_offcontrast=10;zero_variance
Cooney2016_fairness,A,gpt-5.6-terra,none,0.2672612419124243,0.0,0.44721359549995804,30,1.0,1.0,30,30,0,0,0,1,between,1,zero_variance
Cooney2016_fairness,B,gpt-5.6-terra,none,0.3636964837266541,0.0,0.6546536707079771,30,1.0,1.0,30,30,0,0,0,1,between,0,
Eyal2008_moral_distance,A,gpt-5.6-terra,none,-0.4085297439895135,-0.6813117322020313,-0.08006407690254562,30,1.0,1.0,30,30,0,0,0,1,between,0,
Eyal2008_moral_distance,B,gpt-5.6-terra,none,0.3658264565098159,0.06258971672951308,0.6230198815392483,30,1.0,1.0,30,30,0,0,0,1,between,0,
Genschow2017_free_will_attribution,A,gpt-5.6-terra,none,-0.566357673812449,-0.785917791505887,-0.297153643980192,30,1.0,1.0,30,30,0,0,0,1,between,0,
Genschow2017_free_will_attribution,B,gpt-5.6-terra,none,-0.24253562503633214,-0.5146657183303354,0.10711647462478308,30,1.0,1.0,30,30,0,0,0,1,between,0,
Husnu2010_imagined_contact,A,gpt-5.6-terra,none,-0.027724348650071284,-0.49999999999999867,0.29423194619643916,30,1.0,1.0,30,30,0,0,0,1,between,0,
Husnu2010_imagined_contact,B,gpt-5.6-terra,none,0.409615960259519,0.12396467025553327,0.6651684611628637,30,1.0,1.0,30,30,0,0,0,1,between,0,
Klink2000_soundsymbolism,A,gpt-5.6-terra,none,1.0,1.0,1.0,30,1.0,1.0,30,30,0,0,0,1,paired_zero,1,zero_variance
Klink2000_soundsymbolism,B,gpt-5.6-terra,none,0.9981744342838388,0.9946917938265513,1.0,30,1.0,1.0,30,30,0,0,0,1,paired_zero,0,
Knobe2003_side_effect,A,gpt-5.6-terra,none,0.5000000000000001,0.26726124191242434,0.7071067811865476,30,1.0,1.0,30,30,0,0,0,1,phi,1,zero_variance
Knobe2003_side_effect,B,gpt-5.6-terra,none,0.18569533817705183,0.0,0.33333333333333326,30,1.0,1.0,30,30,0,0,0,1,phi,1,zero_variance
Miyamoto2002_correspondence_bias,A,gpt-5.6-terra,none,0.9241291027449281,0.8915747076756065,0.9633661017181762,30,1.0,1.0,30,30,0,0,0,1,between,0,
Miyamoto2002_correspondence_bias,B,gpt-5.6-terra,none,0.9630581062586693,0.9462333002568232,0.9804777648345679,30,1.0,1.0,30,30,0,0,0,1,between,0,
