group,construct_x,construct_y,r_human,n_human,rationale,lit_direction,citation_verified,evidence_type,evidence_citation,search_query,search_date
famous_nonpol,P_numeracy,P_finliteracy,0.4057,2058,Numeracy-financial literacy is a review-level finding in the household-finance literature (Lusardi & Mitchell J.Econ.Lit. review class); caveat: numeracy items partly overlap the 'Big Three' financial-literacy items.,positive,True,review,"Stolper, O. A., & Walter, A. (2017). Financial literacy, financial advice, and financial behavior. Journal of Business Economics, 87(5), 581-643. [reviewing Hastings, J. S., Madrian, B. C., & Skimmyhorn, W. L. (2013). Financial literacy, financial education, and economic outcomes. Annual Review of Economics, 5, 347-373]; see also Lusardi, A., & Mitchell, O. S. (2014). The economic importance of financial literacy: Theory and evidence. Journal of Economic Literature, 52(1), 5-44.",review numeracy and financial literacy relationship measurement household finance survey,2026-08-31
famous_nonpol,P_age_bracket,P_neuroticism,-0.2901,2058,Age-neuroticism decline is the canonical 'maturity principle' result from the Big-Five-across-the-lifespan meta-analytic literature (Roberts/Walton/Viechtbauer class).,negative,True,meta-analysis,"Roberts, B. W., Walton, K. E., & Viechtbauer, W. (2006). Patterns of mean-level change in personality traits across the life course: A meta-analysis of longitudinal studies. Psychological Bulletin, 132(1), 1-25.",meta-analysis age differences neuroticism decline maturity principle Roberts Walton Viechtbauer,2026-08-31
famous_nonpol,P_conscientiousness,P_education,0.1595,2058,Conscientiousness predicting educational attainment/performance is a meta-analytic staple of the Big-Five-and-achievement literature (Poropat meta-analysis class).,positive,True,meta-analysis,"Poropat, A. E. (2009). A meta-analysis of the five-factor model of personality and academic performance. Psychological Bulletin, 135(2), 322-338.",Poropat meta-analysis Big Five conscientiousness academic performance,2026-08-31
famous_nonpol,P_neuroticism,P_maximization,0.1437,2058,Maximizing tendency covarying with negative affectivity/regret is the core validity claim of the original Maximization Scale paper and its replications (Schwartz et al. class).,positive,True,review,"Cheek, N. N., & Schwartz, B. (2016). On the meaning and measurement of maximization. Judgment and Decision Making, 11(2), 126-146.",maximization scale regret negative affect neuroticism Schwartz 2002,2026-08-31
famous_nonpol,P_income,P_finliteracy,0.1295,2058,Financial literacy covarying with income/wealth is a headline finding of the financial-literacy survey literature (Lusardi & Mitchell class).,positive,True,review,"Lusardi, A., & Mitchell, O. S. (2014). The economic importance of financial literacy: Theory and evidence. Journal of Economic Literature, 52(1), 5-44; Lusardi, A., & Mitchell, O. S. (2023). The importance of financial literacy: Opening a new field. Journal of Economic Perspectives, 37(4), 137-154.",financial literacy income wealth gradient review evidence Lusardi Mitchell 2023 Journal of Economic Perspectives,2026-08-31
famous_nonpol,P_openness,P_fluid,0.1217,2058,"Openness-fluid intelligence is a classic meta-analytic personality-ability link (Ackerman & Heggestad 'Intelligence, Personality, and Interests' class).",positive,True,meta-analysis,"Anglim, J., Dunlop, P. D., Wee, S., Horwood, S., Wood, J. K., & Marty, A. (2022). Personality and intelligence: A meta-analysis. Psychological Bulletin; Ackerman, P. L., & Heggestad, E. D. (1997). Intelligence, personality, and interests: Evidence for overlapping traits. Psychological Bulletin, 121(2), 219-245.",Ackerman Heggestad 1997 meta-analysis openness fluid intelligence trait complexes,2026-08-31
famous_nonpol,P_agreeableness,P_dictator_sender,0.1155,2058,Agreeableness predicting giving in economic games is the main personality effect in the prosociality meta-analytic literature (Thielmann/Spadaro/Balliet class); fame is meta-analytic rather than textbook.,positive,True,meta-analysis,"Thielmann, I., Spadaro, G., & Balliet, D. (2020). Personality and prosocial behavior: A theoretical framework and meta-analysis. Psychological Bulletin, 146(1), 30-90.",Thielmann Spadaro Balliet 2020 meta-analysis personality prosocial behavior economic games agreeableness,2026-08-31
famous_nonpol,P_crt2_score,P_wason,0.1006,2058,Cognitive reflection covarying with performance on classic reasoning tasks (Wason selection) belongs to the Stanovich/West/Toplak rational-thinking-battery literature.,positive,True,monograph + primary empirical,"Toplak, M. E., West, R. F., & Stanovich, K. E. (2014). Assessing miserly information processing: An expansion of the Cognitive Reflection Test. Thinking & Reasoning; Stanovich, K. E., West, R. F., & Toplak, M. E. (2016). The rationality quotient: Toward a test of rational thinking. MIT Press.",cognitive reflection test Wason selection task correlation rational thinking Toplak Stanovich West,2026-08-31
undisc_pol,W_policy_support_liberal,W_proportion_dom_1A,0.4116,735,Proportion dominance (scope insensitivity in life-saving/resource judgment) has no theorized or empirical link to liberal policy support; ideology enters that paradigm at most as an unanalyzed covariate.,,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,"""proportion dominance"" political ideology policy support correlation",2026-08-31
undisc_pol,P_political_liberalism,W_proportion_dom_1A,0.2406,735,"Ideology has been tied to moral-foundation and utilitarian-judgment measures, but not to proportion dominance specifically, which is treated as a numerical-evaluability artifact.",,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,"political liberalism conservatism ""proportion dominance"" scope insensitivity individual differences",2026-08-31
undisc_pol,P_religious_nonattendance,P_mentalaccounting,0.1559,2058,"Religion-and-money work concerns tithing, prosperity belief and generosity, never Thaler-style mental-accounting bias; no published pairing.",,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,religiosity religious attendance mental accounting Thaler money categorization,2026-08-31
undisc_pol,P_religious_nonattendance,W_prob_maximizing_cards,0.1501,1032,Probability matching vs. maximizing is a pure choice-learning paradigm with no religiosity theory attached; no literature links attendance to it.,,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,probability matching maximizing individual differences religiosity correlates,2026-08-31
undisc_pol,P_political_liberalism,P_mentalaccounting,0.1371,2058,"Ideology has been linked to risk and loss aversion, but mental accounting (money categorization) is not a studied ideological correlate.",,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,political ideology liberalism mental accounting bias correlation,2026-08-31
undisc_pol,W_policy_support_liberal,W_base_rate_30eng,-0.1146,1043,"Base-rate neglect in the engineer/lawyer paradigm is studied against numeracy and reflection, never against policy-attitude scales.",,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,base rate neglect engineer lawyer problem political attitudes policy support individual differences,2026-08-31
undisc_pol,P_RFS,W_less_is_more_A,0.1068,735,"Whatever reading of the RFS scale is taken, it has no published association with joint-vs-separate evaluation (less-is-more) effects.",,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,less-is-more effect joint separate evaluation individual differences correlates scale,2026-08-31
undisc_pol,P_RFS,W_prob_maximizing_cards,-0.0995,1032,Probability matching in a card task has no published association with the RFS scale under any reading of it; the paradigm has no attitudinal correlates literature.,,True,null-search (no direct literature found),No direct source asserts this association; see ceil2x2_fame_evidence.md for the retrieved adjacent literature.,religious fundamentalism scale RFS decision-making bias probability matching correlation,2026-08-31
