effect_id,doi_o,ref_o,description,discipline,disc_cat,n_o,r_o,n_r,r_r,gap,gap_band,tags,in_A0,thin_metadata,sim_round1_uncalibrated,sim_round1,sim_round2,audit_tier,simulable_final,sim_needs_review,narr_round1,narr_round1_reason,narr_round2,narr_round2_reason,narrative_disagreement,exclusion_reason,sim_round1_provenance,narrative_final,sim_admission,narrative_manual_adjudication_needed
1360,10.1002/smj.2585,"McCann, B. T., & Bahl, M. (2016). The influence of competition from informal firms on new product development. Strategic Management Journal, 38(7), 1518–1535. Portico. https://doi.org/10.1002/smj.2585",influence of competition from informal firms on new product development,Management,other,9522.0,0.06,9266.0,0.07,-0.01,low,informal competition; new product develop-ment; attention-based view; emerging economies; compet-itive strategy,False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,A niche management effect with near-identical original and replication effect sizes attracts little attention in either literature or public discourse.,obscure,"Niche management-strategy finding with tiny effect size, unlikely to be widely known enough to carry any replication narrative.",False,,calibrated full-pool rerun,obscure,confirmed,False
1355,10.1016/j.jesp.2012.11.012,"Zarkadi, T., & Schnall, S. (2013). “Black and White” thinking: Visual contrast polarizes moral judgment. Journal of Experimental Social Psychology, 49(3), 355–359. https://doi.org/10.1016/j.jesp.2012.11.012","Black-and-white priming, priming of a black-and-white visual pattern polarizes moral judgment",Social Psychology,social,111.0,0.2645751311064591,8602.0,0.0316227766016837,0.2329523545047753,mid,"Moral judgment, Morality, Embodiment, Metaphor, Visual contrast, Black and white",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,"This niche embodied-cognition finding never gained wide traction, and its failed replication is known only within specialist literature.",obscure,This is a niche embodied-cognition priming effect too specific and minor to have entered common discourse either way.,False,,calibrated full-pool rerun,obscure,confirmed,False
864,10.1037/0022-3514.95.2.293,"Risen, J. L., & Gilovich, T. (2008). Why people are reluctant to tempt fate. Journal of Personality and Social Psychology, 95(2), 293–307. https://doi.org/10.1037/0022-3514.95.2.293",Reluctance to tempt fate,Psychology,psych_general,120.0,0.1913950514033555,8000.0,0.0896376994958905,0.101757351907465,mid,"tempt fate, magical thinking, accessibility, negativity",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,A niche magical-thinking effect; neither the original nor its weaker replication has broad recognition outside specialist judgment-and-decision-making circles.,obscure,Niche magical-thinking effect lacking broad recognition; neither its finding nor its replication failure is widely known.,False,,calibrated full-pool rerun,obscure,confirmed,False
852,10.1093/analys/63.3.190,"Knobe, J. (2003). Intentional action and side effects in ordinary language. Analysis, 63(3), 190–194. https://doi.org/10.1093/analys/63.3.190",Harmful side-effects are more likely to be judged as having been brought about intentionally than helpful side effects,Psychology,psych_general,78.0,0.600556507185804,7982.0,0.658504607868518,-0.057948100682714,low,"intentional action, folk psychology, prediction, explanation, control, behaviour",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,original_dominates,Knobe effect is a textbook classic widely taught; the large confirming replication is barely known outside specialists.,original_dominates,"The Knobe effect is famous as a robust, celebrated finding; its large replication success isn't part of the common narrative.",False,,calibrated full-pool rerun,original_dominates,confirmed,False
863,10.1111/j.1468-0017.2006.00297.x,"HAUSER, M., CUSHMAN, F., YOUNG, L., KANG‐XING JIN, R., & MIKHAIL, J. (2007). A Dissociation Between Moral Judgments and Justifications. Mind &amp; Language, 22(1), 1–21. Portico. https://doi.org/10.1111/j.1468-0017.2006.00297.x",an act that harms other people is seen as more morally permissible if the act is a foreseen side effect rather than the means to the greater good,Social Psychology,social,2612.0,0.1902779639793305,7923.0,0.1240347345892084,0.066243229390122,mid,"double effect, moral judgments, justifications, moral dilemma",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,contested,"Doctrine of double effect is debated in philosophy/psychology, with Many Labs-type replications cited alongside continued defenses of the original effect.",contested,"Doctrine of double effect remains actively debated in moral psychology, with researchers still contesting its robustness, scope, and underlying mechanisms.",False,,calibrated full-pool rerun,contested,confirmed,False
871,10.1016/j.obhdp.2006.10.001,"Giessner, S. R., & Schubert, T. W. (2007). High in the hierarchy: How vertical location and judgments of leaders’ power are interrelated. Organizational Behavior and Human Decision Processes, 104(1), 30–44. https://doi.org/10.1016/j.obhdp.2006.10.001",Relating vertical position with power,Judgment and Decision Making,jdm,64.0,0.2638110893282788,7890.0,0.0149983127847122,0.2488127765435666,mid,"leadership, power, person perception, embodiment, metaphor",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,contested,"Power-posture embodiment findings circulate widely in popular/textbook accounts, while replication crisis critiques actively dispute their validity in literature.",failure_dominates,"Embodied-cognition/power-posture-style metaphor effects are now emblematic of the replication crisis, especially given the huge N=7890 null result.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True
862,10.1126/science.7455683,"Tversky, A., & Kahneman, D. (1981). The Framing of Decisions and the Psychology of Choice. Science, 211(4481), 453–458. https://doi.org/10.1126/science.7455683",Effect of framing on decision making,Judgment and Decision Making,jdm,181.0,0.4138709243763865,7228.0,0.196116135138184,0.2177547892382025,mid,"decision problems, preference, perception, rational choice",False,False,SIMULABLE,SIMULABLE,INSUFFICIENT,excluded,False,True,contested,"Framing effects remain widely taught, but Many Labs replications sparked ongoing debate over their size and robustness.",original_dominates,Tversky/Kahneman framing effects are textbook staples; the weaker large-N replication is rarely part of popular awareness.,True,round2 veto: NOT_SIMULABLE/INSUFFICIENT,calibrated full-pool rerun,DISAGREE,excluded,True
880,10.1111/1467-9280.00334,"Rottenstreich, Y., & Hsee, C. K. (2001). Money, Kisses, and Electric Shocks: On the Affective Psychology of Risk. Psychological Science, 12(3), 185–190. https://doi.org/10.1111/1467-9280.00334",Whether to prefer an affectively attractive option (a kiss from a favorite movie star) or a financially attractive option ($50) depends on certainty,Social Psychology,social,40.0,0.3747586376266759,7218.0,-0.0399680383488715,0.3347905992778043,high,"prospect theory, affective, s-shaped, affect-rich, affect-poor, outcome",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,This niche affect-vs-money certainty effect and its large replication failure both remain largely unknown outside specialist decision-making research.,obscure,This specific affect-rich/affect-poor certainty effect study is too niche for either the finding or its replication failure to be widely known.,False,,calibrated full-pool rerun,obscure,confirmed,False
851,10.1037/0022-3514.83.5.1239,"Miyamoto, Y., & Kitayama, S. (2002). Cultural variation in correspondence bias: The critical role of attitude diagnosticity of socially constrained behavior. Journal of Personality and Social Psychology, 83(5), 1239–1248. https://doi.org/10.1037/0022-3514.83.5.1239",Correspondence bias (WEIRD samples),Psychology,psych_general,58.0,0.774154681281388,7197.0,0.673040840090995,0.101113841190393,mid,Many Labs 2,False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,contested,"Many Labs 2 replicated correspondence bias fairly robustly, but debates persist about cross-cultural generalizability and WEIRD-sample limits.",original_dominates,"Correspondence bias remains taught as a robust, well-supported phenomenon; the small effect-size gap from Many Labs 2 rarely enters common discourse.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True
870,10.1002/bdm.586,"Critcher, C. R., & Gilovich, T. (2007). Incidental environmental anchors. Journal of Behavioral Decision Making, 21(3), 241–251. Portico. https://doi.org/10.1002/bdm.586",Influence of incidental anchors on judgment,Judgment and Decision Making,jdm,207.0,0.1483404529302446,6826.0,0.0199960011996001,0.1283444517306444,mid,"basic anchoring, numeric priming, incidental anchoring, accessibility",False,False,SIMULABLE,SIMULABLE,INSUFFICIENT,excluded,False,True,contested,"Basic anchoring is textbook-canon, but incidental/numeric-priming anchoring is actively debated amid Many Labs-style null replications.",contested,"Basic anchoring is robust and famous, but ""incidental""/numeric-priming anchors specifically remain debated, with defenders and skeptics both active.",False,round2 veto: NOT_SIMULABLE/INSUFFICIENT,calibrated full-pool rerun,contested,excluded,False
868,10.1177/0956797611429579,"Bauer, M. A., Wilkie, J. E. B., Kim, J. K., & Bodenhausen, G. V. (2012). Cuing Consumerism. Psychological Science, 23(5), 517–523. https://doi.org/10.1177/0956797611429579",Effects of consumer cues on viewing other people as partners,Social Psychology,social,77.0,0.2561582384877227,6608.0,0.0598922907279467,0.196265947759776,mid,"consumerism, materialism, situationism, social engagement, well-being, personal values",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,"This niche Many Labs-style effect and its null replication remain known only within specialist replication/social-priming circles, not broader discourse.",obscure,"Niche materialism-cue priming study, too narrow and low-profile to have formed a widely shared default association either way.",False,,calibrated full-pool rerun,obscure,confirmed,False
859,10.1002/ejsp.2013,"Huang, Y., Tse, C., & Cho, K. W. (2014). Living in the north is not necessarily favorable: Different metaphoric associations between cardinal direction and valence in Hong Kong and in the United States. European Journal of Social Psychology, 44(4), 360–369. Portico. https://doi.org/10.1002/ejsp.2013",Cardinal direction and socioeconomic status (all participants),Social Psychology,social,180.0,0.3162277660168379,6591.0,0.196116135138184,0.1201116308786539,mid,"cardinal direction, valence, preference, cultural differences, metaphoric associations",False,False,SIMULABLE,SIMULABLE,INSUFFICIENT,excluded,False,True,obscure,This niche cardinal-direction/SES association lacks broad citation or media traction outside specialist replication-tracking circles.,obscure,Too niche and specific a finding to have entered common awareness as either a landmark result or a notorious replication failure.,False,round2 veto: NOT_SIMULABLE/INSUFFICIENT,calibrated full-pool rerun,obscure,excluded,False
874,10.1037/a0034462,"Kay, A. C., Laurin, K., Fitzsimons, G. M., & Landau, M. J. (2014). A functional basis for structure-seeking: Exposure to structure promotes willingness to engage in motivated action. Journal of Experimental Psychology: General, 143(2), 486–491. https://doi.org/10.1037/a0034462",Structure promotes goal pursuit,Experimental Philosophy,expphil,67.0,0.2425356250363329,6506.0,-0.0099995000374968,0.232536124998836,mid,"structure seeking, pattern perception, self-regulation, goal pursuit, compensatory control",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,"A narrow social-psych finding with no broad citation or public traction, despite the large replication showing no effect.",obscure,"Niche self-regulation/compensatory-control finding, too specific and low-profile for either ""classic"" or ""famous failed replication"" status.",False,,calibrated full-pool rerun,obscure,confirmed,False
725,10.1037/a0029288,"Caruso, E. M., Vohs, K. D., Baxter, B., & Waytz, A. (2013). Mere exposure to money increases endorsement of free-market systems and social inequality. Journal of Experimental Psychology: General, 142(2), 301–306. https://doi.org/10.1037/a0029288","The replication tested whether money priming increases system justification. It did not replicate: d = -0.02, p = .43, indicating differences from the original study.",Social Psychology,social,30.0,0.3713906763541036,6340.0,-0.0099995000374968,0.3613911763166068,high,"money, system justification, many labs, replication",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,contested,"Money priming remains cited in social psychology while Many Labs failures are widely known, keeping the effect actively debated.",obscure,"Money priming's link to system justification specifically is a niche sub-finding, overshadowed by broader priming replication debates, not independently well-known.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True
726,10.1016/j.jesp.2010.05.014,"Husnu, S., & Crisp, R. J. (2010). Elaboration enhances the imagined contact effect. Journal of Experimental Social Psychology, 46(6), 943–950. https://doi.org/10.1016/j.jesp.2010.05.014","The replication tested whether imagining positive contact with an outgroup increases intentions to engage in future intergroup contact. It found a small but statistically significant effect: d = .13, p < .001​ML.web.Supplement (1)",Social Psychology,social,33.0,0.3950277506594153,6335.0,0.0648631210826801,0.3301646295767352,high,"imagined contact, future intentions, many labs, replication",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,original_dominates,Imagined-contact theory remains widely cited and taught; the Many Labs shrinkage to near-zero is known mainly to replication specialists.,obscure,"Imagined contact is a niche paradigm within intergroup contact research, too specialized for either replication narrative to be widely known.",True,,calibrated full-pool rerun,DISAGREE,confirmed,True
678,10.1017/s1930297500001170,"Oppenheimer, D. M., & Monin, B. (2009). The retrospective gambler’s fallacy: Unlikely events, constructing the past, and multiple universes. Judgment and Decision Making, 4(5), 326–334. https://doi.org/10.1017/s1930297500001170","Results showed no significant retrospective gambler’s fallacy effect, as the data violated the normality assumption. Effect size: d = 0.02, p = .27.",Social Psychology,social,80.0,0.3261363455467632,5979.0,0.0099995000374968,0.3161368455092663,high,"retrospective gambler’s fallacy, decision-making, hindsight bias",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,This niche retrospective gambler's fallacy finding and its failed replication both attract little attention outside decision-making specialists.,obscure,Retrospective gambler's fallacy is a niche decision-making effect too peripheral for either narrative to have become a default association.,False,,calibrated full-pool rerun,obscure,confirmed,False
669,10.1037/0022-3514.83.1.44,"Nosek, B. A., Banaji, M. R., & Greenwald, A. G. (2002). Math = male, me = female, therefore math ≠ me. Journal of Personality and Social Psychology, 83(1), 44–59. https://doi.org/10.1037/0022-3514.83.1.44",gender stereotypes and attitudes and identification with mathematics,Social Psychology,social,79.0,0.4507805712802584,5842.0,0.2561582384877227,0.1946223327925356,mid,"IAT, implicit attitudes, implicit bias, many labs, replication",False,False,NOT_SIMULABLE,NOT_SIMULABLE,,excluded,False,False,n/a (not simulable),,n/a (not simulable),,False,calibrated: DV not text-simulable,calibrated full-pool rerun,n/a,excluded,False
1834,10.1037/pst0000133,"Burlingame, G. M., Whitcomb, K. E., Woodland, S. C., Olsen, J. A., Beecher, M., & Gleave, R. (2018). The effects of relationship and progress feedback in group psychotherapy using the Group Questionnaire and Outcome Questionnaire–45: A randomized clinical trial. Psychotherapy, 55(2), 116–131. https://doi.org/10.1037/pst0000133","Group therapy participants had later ""not on track"" alerts than individual therapy participants",Clinical Psychology,other,374.0,0.223225049976951,5493.0,0.1319928073136246,0.0912322426633264,mid,"group psychotherapy, progress and relationship monitoring, feedback, Group Questionnaire—GQ, OQ-45",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,obscure,This narrow feedback-monitoring finding circulates only among progress-monitoring specialists; neither the original nor replication has broader recognition.,obscure,"Niche progress-monitoring subfinding in group therapy research, too specialized for either narrative to become a common default association.",False,,calibrated full-pool rerun,obscure,confirmed,False
876,10.1038/nclimate2093,"Zaval, L., Keenan, E. A., Johnson, E. J., & Weber, E. U. (2014). How warm days increase belief in global warming. Nature Climate Change, 4(2), 143–147. https://doi.org/10.1038/nclimate2093",Priming “heat” increases belief in global warming,Social Psychology,social,300.0,0.1531709544131907,4204.0,-0.0149983127847122,0.1381726416284785,mid,"climate change, global warming, judgements, belief, temperature",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,"This niche priming finding and its large null replication both circulate mainly within specialist literature, unnoticed by broader audiences.",obscure,"Too niche and low-powered originally to have entered common knowledge, unlike flagship replication-crisis cases.",False,,calibrated full-pool rerun,obscure,confirmed,False
1212,10.3389/fped.2019.00206,"Perez, M., Jaundoo, R., Hilton, K., Del Alamo, A., Gemayel, K., Klimas, N. G., Craddock, T. J. A., & Nathanson, L. (2019). Genetic Predisposition for Immune System, Hormone, and Metabolic Dysfunction in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome: A Pilot Study. Frontiers in Pediatrics, 7. https://doi.org/10.3389/fped.2019.00206",LINC01171: Long non-coding RNA; potentially regulates immune and stress-related gene expression.,Human Genetics,other,383.0,0.4973154024369253,3826.0,-0.3754917780347986,0.1218236244021266,mid,"23andMe, Chronic fatigue syndrome, Genetic Predisposition, Myalgic encephalomyelitis, Single nuclear polymorphism",False,False,NOT_SIMULABLE,NOT_SIMULABLE,,excluded,False,False,n/a (not simulable),,n/a (not simulable),,False,calibrated: DV not text-simulable,calibrated full-pool rerun,n/a,excluded,False
964,10.1111/j.1467-9280.2008.02076.x,"Ranganath, K. A., & Nosek, B. A. (2008). Implicit Attitude Generalization Occurs Immediately; Explicit Attitude Generalization Takes Time. Psychological Science, 19(3), 249–254. https://doi.org/10.1111/j.1467-9280.2008.02076.x","Associative links (e.g., shared group membership) are sufficient for implicit attitude generalization, but deliberative logic (e.g., individual group members are not necessarily the same) can reduce explicit generalization by association.",Social Psychology,social,564.0,-0.001999996000012,3597.0,0.1044259300039955,-0.1024259340039835,low,"Adult, Association, Attitude, Decision Making, Feedback, Psychological, Female, Generalization, Response, Humans, Individuality, Interpersonal Relations, Judgment, Male, Mental Recall, Middle Aged, Personality Inventory, Social Behavior, Social Identification",False,False,NOT_SIMULABLE,NOT_SIMULABLE,,excluded,False,False,n/a (not simulable),,n/a (not simulable),,False,calibrated: DV not text-simulable,calibrated full-pool rerun,n/a,excluded,False
707,10.1027/1864-9335/a000147,"Szymkow, A., Chandler, J., IJzerman, H., Parzuchowski, M., & Wojciszke, B. (2013). Warmer Hearts, Warmer Rooms. Social Psychology, 44(2), 167–176. https://doi.org/10.1027/1864-9335/a000147",Replicated the original study testing if communal traits affect temperature perception. The replication failed to detect the effect.,Social Psychology,social,80.0,0.3950277506594153,3119.0,0.0049999375011718,0.3900278131582435,high,"communal traits, embodiment, temperature perception, social cognition",False,False,NOT_SIMULABLE,NOT_SIMULABLE,,excluded,False,False,n/a (not simulable),,n/a (not simulable),,False,calibrated: DV not text-simulable,calibrated full-pool rerun,n/a,excluded,False
721,10.1016/0010-0285(73)90033-9,"Tversky, A., & Kahneman, D. (1973). Availability: A heuristic for judging frequency and probability. Cognitive Psychology, 5(2), 207–232. https://doi.org/10.1016/0010-0285(73)90033-9","The replication tested whether individuals overestimate the frequency or likelihood of events that are more easily retrievable from memory, demonstrating the availability heuristic. For example, participants judged more frequent exposure to names of famous people compared to less famous individuals.",Judgment and Decision Making,jdm,152.0,0.3793532811354438,3088.0,0.0449545065814817,0.3343987745539621,high,"availability heuristic, frequency judgment, probability estimation, cognitive bias, decision-making",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,original_dominates,The availability heuristic remains a textbook staple; this specific large replication failure is niche and little-known outside replication circles.,original_dominates,"Availability heuristic is a textbook Kahneman/Tversky staple; its replication weakness is niche knowledge, not the common association.",False,,calibrated full-pool rerun,original_dominates,confirmed,False
722,10.1111/j.1467-9280.2006.01824.x,"Galinsky, A. D., Magee, J. C., Inesi, M. E., & Gruenfeld, D. H. (2006). Power and Perspectives Not Taken. Psychological Science, 17(12), 1068–1074. https://doi.org/10.1111/j.1467-9280.2006.01824.x",The replication tested whether individuals primed with high power are less likely to consider others' perspectives during communication tasks compared to individuals primed with low power.,Linguistics,cognitive,42.0,0.3592917377421468,2969.0,0.0149983127847122,0.3442934249574346,high,"power, perspective-taking, social cognition, communication",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,failure_dominates,This power-perspective-taking effect is widely cited in the power-posing/social-priming replication crisis as a textbook non-replication.,failure_dominates,"Power-priming perspective-taking effects are now a textbook example of the priming replication crisis, alongside social priming studies broadly.",False,,calibrated full-pool rerun,failure_dominates,confirmed,False
766,10.1073/pnas.1701916114,"Genschow, O., Rigoni, D., & Brass, M. (2017). Belief in free will affects causal attributions when judging others’ behavior. Proceedings of the National Academy of Sciences, 114(38), 10071–10076. https://doi.org/10.1073/pnas.1701916114","In six studies, we tested whether believing in free will is related to the correspondence bias—that is, people’s automatic tendency to overestimate the influence of internal as compared to external factors when interpreting others’ behavior. Overall, we demonstrate that believing in free will increases the correspondence bias and predicts prescribed punishment and reward behavior.",Social Psychology,social,504.0,0.0945741925264206,2822.0,0.068836329694423,0.0257378628319975,low,"free-will belief, interpersonal perception, correspondence bias",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,A niche free-will/correspondence-bias link with tiny effect sizes; neither the original nor its replication is widely known or discussed.,obscure,A niche free-will-belief/correspondence-bias link too small and specialized to have entered common knowledge either way.,False,,calibrated full-pool rerun,obscure,confirmed,False
771,10.1073/pnas.1616921114,"Chao, M. (2017). Demotivating incentives and motivation crowding out in charitable giving. Proceedings of the National Academy of Sciences, 114(28), 7301–7306. https://doi.org/10.1073/pnas.1616921114",This study tests for the effect of thank-you gifts during a nonprofit’s direct-mail fund-raising campaign and finds that gifts reduced donation rates in this campaign. A complementary online experiment confirms that thank-you gifts can reduce donation rates but only when the gift is visually salient and thus more likely to occupy the donor’s attention. Nonprofits should consider their donor’s psy-chological incentives carefully,Economics,jdm,519.0,0.101473500730337,2441.0,0.0519298382559978,0.0495436624743391,low,"motivation crowding out, charitable giving, multiattribute choice, attention, saliency",False,False,SIMULABLE,SIMULABLE,SIMULABLE,A_dual_confirmed,True,False,obscure,A niche field-experiment finding on gift saliency in fundraising; neither the effect nor its weaker replication has broad recognition.,obscure,A niche mail-fundraising/saliency effect too specific and low-profile to have formed a settled default narrative either way.,False,,calibrated full-pool rerun,obscure,confirmed,False
706,10.1111/j.1467-9280.2009.02426.x,"Jostmann, N. B., Lakens, D., & Schubert, T. W. (2009). Weight as an Embodiment of Importance. Psychological Science, 20(9), 1169–1174. https://doi.org/10.1111/j.1467-9280.2009.02426.x",Replicated the effect of clipboard weight on perceived importance. No significant differences were observed (p = .54).,Social Psychology,social,51.0,0.282945147243684,2374.0,0.0149983127847122,0.2679468344589717,high,"weight embodiment, importance judgments, many labs 3, replication",False,False,NOT_SIMULABLE,SIMULABLE,,B_calibrated_only,True,False,failure_dominates,"Many Labs 3's large null result is widely cited as a textbook embodiment-priming replication failure, overshadowing the small original study.",obscure,"Clipboard-weight/importance embodiment is too minor a study to have a widely shared association, unlike heavier-hitters (power poses, facial feedback).",True,,calibrated full-pool rerun,DISAGREE,confirmed,True
