effect,model,r_bare,ci_lo,ci_hi,n_ok,parse_rate,n_denom,n_refused,n_parse_fail,n_refusal_text,n_seeds,stat,flag
Asch1946_warm_cold,gpt-5.6-terra,1.0,1.0,1.0,30,1.0,30,0,0,0,5,phi,
Banerjee2012_brightness,gpt-5.6-terra,,,,0,,0,0,0,0,0,between,bare_ineligible_no_rows
Bargh2012_warmth,gpt-5.6-terra,,,,0,0.0,30,0,30,4,5,pearson,low_parse;prose_refusals=4
Chao2017_thankyou_gift,gpt-5.6-terra,-0.7337993857053428,-1.0,-0.5,30,1.0,30,0,0,0,5,phi,
Cooney2016_fairness,gpt-5.6-terra,0.09950371902099886,-0.21911815532965692,0.5368949876447042,30,1.0,30,0,0,0,5,between,
Eyal2008_moral_distance,gpt-5.6-terra,-0.32447238944452517,-0.6708203932499361,0.00043778876219605225,30,1.0,30,0,0,0,5,between,
Genschow2017_free_will_attribution,gpt-5.6-terra,-0.572034339289009,-0.7693127419821375,-0.33109205562625,30,1.0,30,0,0,0,5,between,
Husnu2010_imagined_contact,gpt-5.6-terra,0.08737040566610377,-0.284594393085163,0.4368956956861531,30,1.0,30,0,0,0,5,between,
Klink2000_soundsymbolism,gpt-5.6-terra,0.9973632546798006,0.9937494623500295,1.0,30,1.0,30,0,0,0,5,paired_zero,
Knobe2003_side_effect,gpt-5.6-terra,0.9354143466934854,0.816496580927726,1.0,30,1.0,30,0,0,0,5,phi,
Miyamoto2002_correspondence_bias,gpt-5.6-terra,0.0,0.0,0.0,30,1.0,30,0,0,0,5,between,
Oppenheimer2009_retrospective_gambler,gpt-5.6-terra,0.09569730962757916,-0.3712619945805515,0.44295833897768017,30,1.0,30,0,0,0,5,between,
Rottenstreich2001_affective_lottery,gpt-5.6-terra,0.0,0.0,0.0,30,1.0,30,0,0,0,5,phi,
Slepian2012_secrets,gpt-5.6-terra,,,,0,,0,0,0,0,0,between,bare_ineligible_no_rows
Tamir2012_selfdisclosure,gpt-5.6-terra,0.0,0.0,0.0,30,1.0,30,0,0,0,5,paired_zero,
Tversky1973_availability_letters,gpt-5.6-terra,-0.4,-0.7333333333333334,-0.06666666666666665,30,1.0,30,0,0,0,5,prop_vs_half,
Valdesolo2007_hypocrisy,gpt-5.6-terra,0.5516772843673704,0.33333333333333326,0.760885910252682,30,1.0,30,0,0,0,5,between,
VanBoven2007_anticipation,gpt-5.6-terra,0.10540925533894598,-0.2581988897471611,0.3651483716701107,30,1.0,30,0,0,0,5,paired_zero,
Wakslak2006_construal,gpt-5.6-terra,0.18569533817705125,0.0,0.33333333333333404,30,1.0,30,0,0,0,5,between,
