effect,cond,condition_type,task_demand_type,aversive_pole,paradigm_class,pc_coarse,n_rollouts_all_waves,refusal_rate_all_waves,cond_text_excerpt,coding_basis
Ackerman2010_haptic_weight,heavy,embodied_prime,person_evaluation_rating,0,social_priming,priming,216,0.5,"The clipboard is unexpectedly heavy in your hands -- a thick, solid board that weighs about two kilograms. You have to brace it against your forearm to keep it ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Ackerman2010_haptic_weight,light,embodied_prime,person_evaluation_rating,0,social_priming,priming,216,0.125,The clipboard is light in your hands -- a thin board that weighs about a third of a kilogram. It sits easily on your palm while you read.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Helzer2011_cleansing_conservatism,cleansing_reminder,embodied_prime,political_attitude_report,0,social_priming,priming,208,0.0,You are standing immediately beside a wall-mounted hand-sanitiser dispenser. A large printed sign above it reads: STOP THE SPREAD OF GERMS -- PLEASE SANITISE YO,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Helzer2011_cleansing_conservatism,control,embodied_prime,political_attitude_report,0,social_priming,priming,208,0.019230769230769232,"You are standing in an open stretch of the lobby. The wall beside you is bare -- no dispenser, no signs, nothing to look at while the student hands you the surv",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Jostmann2009_weight_importance,heavy,embodied_prime,neutral_judgment,0,social_priming,priming,208,0.019230769230769232,"The clipboard is noticeably heavy in your hands -- a thick, dense board that takes some effort to hold up.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Jostmann2009_weight_importance,light,embodied_prime,neutral_judgment,0,social_priming,priming,200,0.005,"The clipboard is noticeably light in your hands -- a thin, flimsy board that takes no effort to hold up.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Banerjee2012_brightness,ethical,ethical_recall,self_transgression_disclosure,0,introspective_recall,self_report,480,0.12291666666666666,Recall an ethical deed you yourself performed in the past -- an occasion on which you did the right thing. Bring the episode to mind in as much detail as you ca,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Husnu2010_imagined_contact,control,group_identity,outgroup_attitude_report,0,social_imagery,priming,240,0.0,"Take a minute to imagine an outdoor scene. Now fill in the details. Is it a beach, a park, a hillside, a street? What is the weather like? What can you see in t",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Husnu2010_imagined_contact,imagined_contact,group_identity,outgroup_attitude_report,0,social_imagery,priming,240,0.0,"Take a minute to imagine yourself meeting an elderly Muslim man whom you have never met before, for the first time. Imagine that the meeting goes well: the conv",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Mellers2001_conjunction_frequency,and_are,linguistic_frame,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.004166666666666667,and are,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Mellers2001_conjunction_frequency,who_are,linguistic_frame,neutral_judgment,0,jdm_bias,jdm_or_perceptual,240,0.004166666666666667,who are,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Chao2017_thankyou_gift,gift_nonsalient,money_exchange,monetary_allocation,0,incentive,jdm_or_perceptual,160,0.0,The request reads: 'Will you give to help provide meals to families in need? Your gift goes directly to the families we serve. Donors receive a ceramic mug with,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Chao2017_thankyou_gift,gift_salient,money_exchange,monetary_allocation,0,incentive,jdm_or_perceptual,160,0.0,The request reads: 'Will you give to help provide meals to families in need? Your gift goes directly to the families we serve.' *** THANK-YOU GIFT *** Printed b,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Chao2017_thankyou_gift,no_gift,money_exchange,monetary_allocation,0,incentive,jdm_or_perceptual,160,0.0,The request reads: 'Will you give to help provide meals to families in need? Your gift goes directly to the families we serve.',manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Rottenstreich2001_affective_lottery,certainty,money_exchange,monetary_allocation,0,jdm_bias,jdm_or_perceptual,240,0.0,"You may have exactly one of the following two things, guaranteed: A. A kiss on the cheek from your favourite movie star. B. $50 in cash.",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Rottenstreich2001_affective_lottery,low_probability,money_exchange,monetary_allocation,0,jdm_bias,jdm_or_perceptual,240,0.0,You may enter exactly one of the following two lotteries. Each lottery gives you a 1% chance of winning its prize and a 99% chance of winning nothing at all: A.,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Cooney2016_fairness,fair_procedure,moral_scenario,affect_forecast,0,moral_judgment,moral,480,0.0020833333333333333,"You are told how the decision will be made: the person running the study will flip a fair coin. Heads and tails are equally likely, so you and the other person ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Cooney2016_fairness,unfair_procedure,moral_scenario,affect_forecast,0,moral_judgment,moral,480,0.0,"You are told how the decision will be made: the person running the study will simply decide herself who gets the $10 and who gets the $1, however she likes, wit",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Valdesolo2007_hypocrisy,ingroup_actor,moral_scenario,moral_wrongness_rating,0,moral_judgment,moral,240,0.041666666666666664,You have been placed on the blue team with two other participants; a separate red team sits across the room. The experimenter tells a member of YOUR BLUE TEAM t,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Valdesolo2007_hypocrisy,other_actor,moral_scenario,moral_wrongness_rating,0,moral_judgment,moral,240,0.0,"The experimenter tells ANOTHER PARTICIPANT to decide. She says he may either flip a coin in the envelope on the desk to decide, or simply choose -- it is up to ",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Valdesolo2007_hypocrisy,outgroup_actor,moral_scenario,moral_wrongness_rating,1,moral_judgment,moral,240,0.0625,You have been placed on the blue team with two other participants; a separate red team sits across the room. The experimenter tells a member of the RED TEAM to ,manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
Valdesolo2007_hypocrisy,self_actor,moral_scenario,moral_wrongness_rating,0,moral_judgment,moral,240,0.0,"The experimenter tells YOU to decide. She says you may either flip a coin in the envelope on the desk to decide, or simply choose -- it is up to you. You do not",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
BlackBarnes2015_transportation,fiction,narrative_stimulus,neutral_judgment,0,social_imagery,priming,160,0.0,"STORY -- The bell over the door of the hardware store rang at four minutes past six, and Ada knew before she turned around that it was him. She had rehearsed th",manual map keyed on condition text + response-task text from protocol bank (rule-checkable; no LLM)
