effect,variant,model,r_sim,n_scored,parse_rate,at_ceiling
Aryani2020_word_arousal,A,gpt-5.6-terra,0.9953077009887088,60,1.0,True
Aryani2020_word_arousal,B,gpt-5.6-terra,0.9973874087261759,60,1.0,True
Asch1946_warm_cold,A,gpt-5.6-terra,-0.6264457104975294,60,1.0,False
Asch1946_warm_cold,B,gpt-5.6-terra,-0.7545097576439577,60,1.0,False
BlackBarnes2015_transportation,A,gpt-5.6-terra,0.9928389755072153,60,1.0,True
BlackBarnes2015_transportation,B,gpt-5.6-terra,0.9612929073115599,60,1.0,True
Cao2018_bayesian_pilot,A,gpt-5.6-terra,0.9961578105304529,60,1.0,True
Cao2018_bayesian_pilot,B,gpt-5.6-terra,0.9825408388770677,60,1.0,True
FathKay2018_hierarchy_corruption,A,gpt-5.6-terra,0.9834474969431871,60,1.0,True
FathKay2018_hierarchy_corruption,B,gpt-5.6-terra,0.9797759903129599,60,1.0,True
Hoorens2015_more_less_asymmetry,A,gpt-5.6-terra,0.7786095196690105,60,1.0,False
Hoorens2015_more_less_asymmetry,B,gpt-5.6-terra,0.8991807694345314,60,1.0,False
John2016_hiding_information,A,gpt-5.6-terra,-0.6915978618700194,60,1.0,False
John2016_hiding_information,B,gpt-5.6-terra,0.987242241846016,60,1.0,True
Klink2000_soundsymbolism,A,gpt-5.6-terra,0.9464486364995053,60,1.0,False
Klink2000_soundsymbolism,B,gpt-5.6-terra,0.9742875936183935,60,1.0,True
Knobe2003_side_effect,A,gpt-5.6-terra,0.7565209318748446,60,1.0,False
Knobe2003_side_effect,B,gpt-5.6-terra,0.5602096821533704,60,1.0,False
Miyamoto2002_correspondence_bias,A,gpt-5.6-terra,0.9394907041071363,60,1.0,False
Miyamoto2002_correspondence_bias,B,gpt-5.6-terra,0.9714765161519349,60,1.0,True
Rottenstreich2001_affective_lottery,A,gpt-5.6-terra,0.6132852482890143,60,1.0,False
Rottenstreich2001_affective_lottery,B,gpt-5.6-terra,-0.001041904672294512,60,1.0,False
Tamir2012_selfdisclosure,A,gpt-5.6-terra,-0.921564118387876,60,1.0,False
Tamir2012_selfdisclosure,B,gpt-5.6-terra,-0.9427629027409988,60,1.0,False
Valdesolo2007_hypocrisy,A,gpt-5.6-terra,0.6552425713719094,60,1.0,False
Valdesolo2007_hypocrisy,B,gpt-5.6-terra,0.6211391063147824,60,1.0,False
Weinstein1984_comparative_optimism,A,gpt-5.6-terra,0.9936289688783697,60,1.0,True
Weinstein1984_comparative_optimism,B,gpt-5.6-terra,0.9947306556480392,60,1.0,True
