short,fame,effect_id,doi,ref,desc,n_o,r_o,n_r,r_r,gap
Asch1946_warm_cold,famous,1676,10.1037/h0055756,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social Psychology, 41(3), 258–290. https://doi.org/10.1037/h0055756","including ""warm"" vs ""cold"" in a list of character qualities leads to assumptions of different secondary character qualitties",166.0,0.6508,183.0,0.1966,0.4541
Bargh2012_warmth,famous,1815,10.1037/a0023527,"Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in daily life. Emotion, 12(1), 154–162. https://doi.org/10.1037/a0023527",People lacking social warmth compensate through physical warmth in the form of hot showers/baths,51.0,0.57,311.0,0.02,0.55
Banerjee2012_brightness,famous,1804,10.1177/0956797611432497,"Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness. Psychological Science, 23(4), 407–409. https://doi.org/10.1177/0956797611432497",Recalling unethical deeds darkens perceived room brightness,74.0,0.5239,482.0,-0.015,0.5089
Wakslak2006_construal,famous,1645,10.1037/0096-3445.135.4.641,"Wakslak, C. J., Trope, Y., Liberman, N., & Alony, R. (2006). Seeing the forest when entry is unlikely: Probability and the mental representation of events. Journal of Experimental Psychology: General, 135(4), 641–653. https://doi.org/10.1037/0096-3445.135.4.641",More unlikely future events are more abstractly construed. (Trial 1),21.0,0.6101,115.0,-0.0946,0.5155
Tamir2012_selfdisclosure,famous,463,10.1073/pnas.1202129109,"Tamir, D. I., & Mitchell, J. P. (2012). Disclosing information about the self is intrinsically rewarding. Proceedings of the National Academy of Sciences, 109(21), 8038–8043. https://doi.org/10.1073/pnas.1202129109",Disclosing information about the self is intrinsically rewarding,37.0,0.4853,19.0,0.0046,0.4807
Klink2000_soundsymbolism,obscure,890,10.1023/a:1008184423824,"Klink, R. R. (2000). Creating Brand Names With Meaning: The Use of Sound Symbolism. Marketing Letters, 11(1), 5–20. https://doi.org/10.1023/a:1008184423824","Products with brand names containing back vowel sounds, as opposed to front vowel sounds, are perceived as: (d) thicker",171.0,0.819,823.0,0.222,0.597
Valdesolo2007_hypocrisy,moderate,1728,10.1111/j.1467-9280.2007.01961.x,"Valdesolo, P., & DeSteno, D. (2007). Moral Hypocrisy. Psychological Science, 18(8), 689–690. https://doi.org/10.1111/j.1467-9280.2007.01961.x",Individuals perceived their own transgressions to be less objectionable than the same transgression enacted by another person (without altruists in the sample of replication study),74.0,0.4853,540.0,0.0,0.4853
Cooney2016_fairness,obscure,769,10.1073/pnas.1606574113,"Cooney, G., Gilbert, D. T., & Wilson, T. D. (2016). When fairness matters less than we expect. Proceedings of the National Academy of Sciences, 113(40), 11168–11171. https://doi.org/10.1073/pnas.1606574113","in a series of experiments, we show that those to whom resources are allocated often care less about fairness than those who allocate the resources expect them to. This “allocator’s illusion” results from the fact that fairness seems more important before an allocation is made (when al-locators are choosing a procedure) than afterward (when re-ceivers are reacting to the procedure that allocators chose).",120.0,0.5657,132.0,0.1211,0.4446
VanBoven2007_anticipation,moderate,1742,10.1037/0096-3445.136.2.289,"Van Boven, L., & Ashworth, L. (2007). Looking forward, looking back: Anticipation is more evocative than retrospection. Journal of Experimental Psychology: General, 136(2), 289–300. https://doi.org/10.1037/0096-3445.136.2.289",There is no tendency for participants to expect that they would enjoy their future Thanksgiving more than they remembered having enjoyed their past Thanksgiving,36.0,0.44,246.0,0.01,0.43
Slepian2012_secrets,moderate,674,10.1037/a0027598,"Slepian, M. L., Masicampo, E. J., Toosi, N. R., & Ambady, N. (2012). The physical burdens of secrecy. Journal of Experimental Psychology: General, 141(4), 619–624. https://doi.org/10.1037/a0027598",embodiment of secrets effect,40.0,0.52,100.0,0.04,0.48
