effect,variant,model,r_sim,n_scored,parse_rate,at_ceiling
Aryani2020_word_arousal,A,deepseek-v4-flash,0.9957249421221556,60,1.0,True
Aryani2020_word_arousal,B,deepseek-v4-flash,0.9946745538111972,60,1.0,True
Asch1946_warm_cold,A,deepseek-v4-flash,0.15434804173573988,60,1.0,False
Asch1946_warm_cold,B,deepseek-v4-flash,0.0427321275261675,60,1.0,False
BlackBarnes2015_transportation,A,deepseek-v4-flash,0.975940628714554,60,1.0,True
BlackBarnes2015_transportation,B,deepseek-v4-flash,0.7298651710628515,60,1.0,False
Cao2018_bayesian_pilot,A,deepseek-v4-flash,0.4846815460870348,60,1.0,False
Cao2018_bayesian_pilot,B,deepseek-v4-flash,0.6772678182494877,60,1.0,False
FathKay2018_hierarchy_corruption,A,deepseek-v4-flash,0.8873048249238905,60,1.0,False
FathKay2018_hierarchy_corruption,B,deepseek-v4-flash,0.8554369967514011,60,1.0,False
Hoorens2015_more_less_asymmetry,A,deepseek-v4-flash,0.764520448197622,60,1.0,False
Hoorens2015_more_less_asymmetry,B,deepseek-v4-flash,0.740202211224166,60,1.0,False
John2016_hiding_information,A,deepseek-v4-flash,0.3687314383795758,60,1.0,False
John2016_hiding_information,B,deepseek-v4-flash,0.9824509147154119,60,1.0,True
Klink2000_soundsymbolism,A,deepseek-v4-flash,0.9589782642457315,60,1.0,True
Klink2000_soundsymbolism,B,deepseek-v4-flash,0.81372471784853,60,1.0,False
Knobe2003_side_effect,A,deepseek-v4-flash,0.9833922472321697,60,1.0,True
Knobe2003_side_effect,B,deepseek-v4-flash,0.9716663975680515,60,1.0,True
Miyamoto2002_correspondence_bias,A,deepseek-v4-flash,0.949617923577152,60,1.0,False
Miyamoto2002_correspondence_bias,B,deepseek-v4-flash,0.8978620646229745,60,1.0,False
Rottenstreich2001_affective_lottery,A,deepseek-v4-flash,0.1083352525547792,60,1.0,False
Rottenstreich2001_affective_lottery,B,deepseek-v4-flash,0.29095718698132317,60,1.0,False
Tamir2012_selfdisclosure,A,deepseek-v4-flash,-0.4143742797435017,60,1.0,False
Tamir2012_selfdisclosure,B,deepseek-v4-flash,-0.7287564862767898,60,1.0,False
Valdesolo2007_hypocrisy,A,deepseek-v4-flash,0.519596026796579,60,1.0,False
Valdesolo2007_hypocrisy,B,deepseek-v4-flash,0.4089851274444602,60,1.0,False
Weinstein1984_comparative_optimism,A,deepseek-v4-flash,0.939519210231392,60,1.0,False
Weinstein1984_comparative_optimism,B,deepseek-v4-flash,0.9501789034857561,60,1.0,True
