effect,wave,ref_original,doi_original,r_o,n_o,r_r,n_r,paradigm_class,in_estimation_sample,evidence_tier_A,evidence_tier_B,bare_eligible
Asch1946_warm_cold,A0A1,"Asch, S. E. (1946). Forming impressions of personality. The Journal of Abnormal and Social",10.1037/h0055756,0.6508,166.0,0.1966,183.0,trait_inference,True,canonical_knowledge,canonical_knowledge,True
Banerjee2012_brightness,A0A1,"Banerjee, P., Chatterjee, P., & Sinha, J. (2012). Is It Light or Dark? Recalling Moral Beh",10.1177/0956797611432497,0.5239,74.0,-0.015,482.0,introspective_recall,False,canonical_knowledge,canonical_knowledge,False
Bargh2012_warmth,A0A1,"Bargh, J. A., & Shalev, I. (2012). The substitutability of physical and social warmth in d",10.1037/a0023527,0.57,51.0,0.02,311.0,questionnaire,False,primary_source,primary_source,True
Chao2017_thankyou_gift,A0A1,"Chao, M. (2017). Demotivating incentives and motivation crowding out in charitable giving.",10.1073/pnas.1616921114,0.1015,519.0,0.0519,2441.0,incentive,True,canonical_knowledge,canonical_knowledge,True
Cooney2016_fairness,A0A1,"Cooney, G., Gilbert, D. T., & Wilson, T. D. (2016). When fairness matters less than we exp",10.1073/pnas.1606574113,0.5657,120.0,0.1211,132.0,moral_judgment,True,primary_source,primary_source,True
Eyal2008_moral_distance,A0A1,"Eyal, T., Liberman, N., & Trope, Y. (2008). Judging near and distant virtue and vice. Jour",10.1016/j.jesp.2008.03.012,0.38,58.0,0.0316,116.0,moral_judgment,True,primary_source,canonical_knowledge,True
Genschow2017_free_will_attribution,A0A1,"Genschow, O., Rigoni, D., & Brass, M. (2017). Belief in free will affects causal attributi",10.1073/pnas.1701916114,0.0946,504.0,0.0688,2822.0,jdm_bias,True,primary_source,canonical_knowledge,True
Husnu2010_imagined_contact,A0A1,"Husnu, S., & Crisp, R. J. (2010). Elaboration enhances the imagined contact effect. Journa",10.1016/j.jesp.2010.05.014,0.395,33.0,0.0649,6335.0,social_imagery,True,canonical_knowledge,canonical_knowledge,True
Klink2000_soundsymbolism,A0A1,"Klink, R. R. (2000). Creating Brand Names With Meaning: The Use of Sound Symbolism. Market",10.1023/a:1008184423824,0.819,171.0,0.222,823.0,linguistic_intuition,True,primary_source,primary_source,True
Knobe2003_side_effect,A0A1,"Knobe, J. (2003). Intentional action and side effects in ordinary language. Analysis, 63(3",10.1093/analys/63.3.190,0.6006,78.0,0.6585,7982.0,moral_judgment,True,canonical_knowledge,canonical_knowledge,True
